address,first_seen,label,source
0x94a1b5cdb22c43faab4abeb5c74999895464ddaf,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0xb541fc07bc7619fd4062a54d96268525cbc6ffef,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0x23773e65ed146a459791799d01336db287f25334,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0xa60c772958a3ed56c1f15dd055ba37ac8e523a0d,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0xd21be7248e0197ee08e0c20d4a96debdac3d20af,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0x4736dcf1b7a3d580672cce6e7c65cd5cc9cfba9d,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0x610b717796ad172b316836ac95a2ffad065ceab4,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0x178169b423a011fff22b9e3f3abea13414ddd0f1,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0xbb93e510bbcd0b7beb5a853875f9ec60275cf498,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0xd96f2b1c14db8458374d9aca76e26c3d18364307,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0x2717c5e28cf931547b621a5dddb772ab6a35b701,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0xca0840578f57fe71599d29375e16783424023357,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0x8589427373d6d84e98730d7795d8f6f8731fda16,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0x722122df12d4e14e13ac3b6895a86e84145b6967,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0xdd4c48c0b24039969fc16d1cdf626eab821d3384,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
0x03893a7c7463ae47d46bc7f091665f1893656003,2022-08-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220808
